num,year,month,day,hour,min,sec,T,type
1,2009,1,13,17,24,34.4,17.84,S
2,2009,1,14,13,16,26.1,16.95,S
3,2009,1,15,7,54,37.7,55.13,S
4,2009,1,15,18,2,9.7,90.66,S
5,2009,1,15,19,49,4,2.34,Q
6,2009,1,17,3,26,34.9,11.25,R
7,2009,1,18,3,40,53.1,1.02,Q
8,2009,1,18,3,41,2.8,3.3,Q
9,2009,1,18,5,9,46.1,21.87,S
10,2009,1,18,15,29,19.8,7.73,S
11,2009,1,19,0,59,31.6,3.14,Q
12,2009,1,19,3,21,40.8,4.81,R
13,2009,1,19,10,45,58.4,26.35,S
14,2009,1,19,13,13,4.2,43.1,S
15,2009,1,19,23,58,55.7,6.92,R
16,2009,1,20,0,12,46.8,26.91,R
17,2009,1,20,1,44,4.2,26.07,R
18,2009,1,20,1,44,43.6,25.53,R
19,2009,1,20,2,47,44.4,0.81,Q
20,2009,1,20,3,59,48.1,2.44,Q
21,2009,1,20,4,15,42.9,23.46,R
22,2009,1,20,5,14,58,11.86,R
23,2009,1,20,5,39,1.9,30.78,R
24,2009,1,20,6,44,57.7,9.38,R
25,2009,1,20,6,51,9.9,10.59,R
26,2009,1,20,8,16,45.1,77.48,R
27,2009,1,20,8,31,50.2,28.44,R
28,2009,1,20,9,23,58.1,1.7,Q
29,2009,1,20,9,55,27.5,13.43,R
30,2009,1,20,14,39,11.3,6.07,Q
31,2009,1,20,15,24,7.4,24.4,R
32,2009,1,20,20,45,46.2,28.61,R
33,2009,1,20,21,26,23,36.06,R
34,2009,1,21,10,40,28.8,2.59,I
35,2009,1,21,10,53,4.4,1.73,I
36,2009,1,21,10,57,42.5,2.08,I
37,2009,1,21,11,0,43.6,1.12,I
38,2009,1,21,11,3,57.1,1.87,I
39,2009,1,21,11,9,14.8,2.21,I
40,2009,1,21,11,12,10.2,1.6,I
41,2009,1,21,11,14,49.2,1.75,I
42,2009,1,21,11,17,5.9,2,I
43,2009,1,21,11,19,42.7,1.32,I
44,2009,1,21,11,29,13.4,1.92,I
45,2009,1,21,11,33,38.2,3.34,I
46,2009,1,21,11,43,26.5,1.14,I
47,2009,1,21,17,43,15,36.37,S
48,2009,1,21,21,34,13.9,3.68,Q
49,2009,1,22,9,55,27,2.02,I
50,2009,1,22,10,5,7.1,3.22,I
51,2009,1,22,10,8,37.2,1.22,I
52,2009,1,22,10,11,51.2,0.95,I
53,2009,1,22,10,14,52,2.47,I
54,2009,1,22,10,17,36.4,3.03,I
55,2009,1,22,10,19,55.2,0.95,I
56,2009,1,22,10,23,22.4,1.62,I
57,2009,1,22,10,26,36.5,1.76,I
58,2009,1,22,10,29,20.3,2.7,I
59,2009,1,22,10,32,27.3,1.23,I
60,2009,1,22,10,36,15.7,1.67,I
61,2009,1,22,10,39,47.7,1.08,I
62,2009,1,22,10,43,31.2,2.09,I
63,2009,1,22,10,46,55.2,1.91,I
64,2009,1,22,10,50,1.4,2.05,I
65,2009,1,22,13,27,47.4,2.81,I
66,2009,1,22,13,33,44,2.49,I
67,2009,1,22,13,36,12,1.4,I
68,2009,1,22,13,38,53.9,1.93,I
69,2009,1,22,13,41,18.5,1.51,I
70,2009,1,22,13,44,6.1,2.26,I
71,2009,1,22,13,47,34,1.37,I
72,2009,1,22,13,50,17.5,1.46,I
73,2009,1,22,13,54,3.5,1.62,I
74,2009,1,22,13,56,48.6,1.52,I
75,2009,1,22,13,59,24.7,1.41,I
76,2009,1,22,14,2,42.5,2.36,I
77,2009,1,22,14,7,43.9,1.33,I
78,2009,1,22,14,11,25.3,1.23,I
79,2009,1,22,14,14,39.1,1.54,I
80,2009,1,22,14,17,55.4,3.5,I
81,2009,1,22,18,6,26.9,1.5,Q
82,2009,1,23,8,31,25,13.42,R
83,2009,1,23,8,34,19.6,30.2,R
84,2009,1,23,8,49,7.5,7.34,R
85,2009,1,23,8,57,59.4,38.82,R
86,2009,1,23,8,59,55.5,31.74,R
87,2009,1,23,9,14,43.2,18.36,R
88,2009,1,23,9,18,6.5,25.76,R
89,2009,1,23,9,35,51.4,14.27,R
90,2009,1,23,9,38,37.8,13.36,R
91,2009,1,23,9,47,25.2,20.5,R
92,2009,1,23,9,55,12.9,18.28,R
93,2009,1,23,9,56,54,16.5,R
94,2009,1,23,10,39,42.6,9.26,R
95,2009,1,23,16,38,13.8,34.43,R
96,2009,1,23,17,57,2.5,4.43,Q
97,2009,1,23,18,0,14.1,23.59,S
98,2009,1,23,20,5,53.3,28.16,R
99,2009,1,23,21,34,30.6,12.6,S
100,2009,1,24,4,30,30.8,17.78,R
101,2009,1,24,5,0,4.5,2.22,R
102,2009,1,24,6,7,57.2,39.42,R
103,2009,1,24,6,14,15.6,6.61,R
104,2009,1,24,6,42,34.9,12.24,R
105,2009,1,24,6,49,55.7,23.32,R
106,2009,1,24,9,12,9.3,10.59,R
107,2009,1,24,10,42,54.4,21.35,R
108,2009,1,24,11,0,23,82.44,R
109,2009,1,24,15,13,33.7,66.96,R
110,2009,1,24,16,25,50.2,15.48,R
111,2009,1,24,17,26,51.3,16.24,R
